Alan Biscoe,2004-5-26,Sunning
Alta Long,1992-1-9,Derade
Amado Porter,2001-11-1,Reeport
Andre Flores,2003-9-25,Rialand
Charles Ware,1999-9-25,Ralton
Chasity Birchfield,1995-3-2,Margaret Robins,Pionagar
David Rogers,1996-1-14,Alan Biscoe,Semins
Deborah Toney,1991-12-7,[12918310183164 15173153165112 10212114781143]
Edith Rogillio,2005-8-14,[1799314616979 9959101145187 103129137163142 169119898773]
Elva Wilson,1999-7-26,Moning
Era Gregory,1994-7-19,Alta Long,Luniscan
George Stahlhut,1991-6-10,Amado Porter,Landona
Hang Lee,1997-6-24,[99177163173181 17486114163191 59167163149149 78556571198 1621016112052]
Ida Venkus,1998-8-27,[]
Kenneth Kluge,1999-5-23,Artemont
Kristy Minardi,2004-11-4,Elva Wilson,Lucestow
Larry Bradshaw,1991-11-7,Andre Flores,Argeorg
Margaret Robins,1991-9-17,Lacent
Nick Dean,1992-8-17,Kenneth Kluge,Childon
William Sump,1992-8-3,Charles Ware,Sallawick
